#{"t_start": 1746947258.6964107, "env_id": "None"}
r,l,t
-1.0,1,15.421803
-1.0,1,15.422494
1.0,1,15.423123
1.0,1,15.423784
1.0,1,15.424524
1.0,1,15.425156
1.0,1,15.425817
1.0,1,15.42647
-1.0,1,15.427295
1.0,1,15.428076
-1.0,1,15.428735
-1.0,1,15.429383
1.0,1,15.430024
1.0,1,15.430682
1.0,1,15.43133
-1.0,1,15.431975
1.0,1,15.432634
-1.0,1,15.433305
-1.0,1,15.433944
1.0,1,15.434604
1.0,1,15.43525
1.0,1,15.435895
-1.0,1,15.436581
1.0,1,15.437294
-1.0,1,15.438048
1.0,1,15.438711
-1.0,1,15.439363
-1.0,1,15.440028
1.0,1,15.440686
1.0,1,15.44169
-1.0,1,15.44236
-1.0,1,15.443006
-1.0,1,15.443669
1.0,1,15.444321
1.0,1,15.444961
1.0,1,15.445626
-1.0,1,15.446272
-1.0,1,15.447021
-1.0,1,15.447767
1.0,1,15.448481
-1.0,1,15.449123
-1.0,1,15.449796
1.0,1,15.450452
-1.0,1,15.4511
1.0,1,15.451767
-1.0,1,15.452461
1.0,1,15.453183
1.0,1,15.453847
-1.0,1,15.454506
1.0,1,15.455136
1.0,1,15.455793
-1.0,1,15.456448
-1.0,1,15.457186
-1.0,1,15.457971
1.0,1,15.458671
-1.0,1,15.459316
1.0,1,15.459952
-1.0,1,15.460611
-1.0,1,15.461253
-1.0,1,15.461892
-1.0,1,15.462548
1.0,1,15.463173
-1.0,1,15.463836
1.0,1,15.464495
-1.0,1,15.465134
1.0,1,15.465795
1.0,1,15.466448
-1.0,1,15.467221
1.0,1,15.468028
-1.0,1,15.46869
1.0,1,15.469337
1.0,1,15.469978
1.0,1,15.470637
1.0,1,15.471284
-1.0,1,15.471922
1.0,1,15.47258
-1.0,1,15.473205
1.0,1,15.473861
1.0,1,15.474535
1.0,1,15.475178
-1.0,1,15.475861
1.0,1,15.476568
1.0,1,15.477291
-1.0,1,15.478048
-1.0,1,15.47871
1.0,1,15.479368
1.0,1,15.48001
-1.0,1,15.480675
-1.0,1,15.481323
1.0,1,15.481965
-1.0,1,15.482628
1.0,1,15.483275
1.0,1,15.483914
-1.0,1,15.484958
1.0,1,15.48563
1.0,1,15.48628
-1.0,1,15.487023
1.0,1,15.487836
-1.0,1,15.488559
1.0,1,15.489188
-1.0,1,15.48985
1.0,1,15.490602
1.0,1,15.491354
1.0,1,15.492061
-1.0,1,15.492784
1.0,1,15.493516
1.0,1,15.494188
-1.0,1,15.494896
1.0,1,15.495651
-1.0,1,15.496691
-1.0,1,15.497581
1.0,1,15.498344
-1.0,1,15.498978
1.0,1,15.499645
-1.0,1,15.500301
1.0,1,15.500969
-1.0,1,15.501674
-1.0,1,15.502341
1.0,1,15.502966
-1.0,1,15.503632
1.0,1,15.504288
1.0,1,15.50491
-1.0,1,15.505568
1.0,1,15.506191
1.0,1,15.506953
1.0,1,15.507763
-1.0,1,15.508462
-1.0,1,15.509085
1.0,1,15.509732
-1.0,1,15.510385
1.0,1,15.511008
-1.0,1,15.511661
-1.0,1,15.512316
1.0,1,15.513018
1.0,1,15.513721
-1.0,1,15.51438
1.0,1,15.515002
-1.0,1,15.515793
1.0,1,15.516568
1.0,1,15.517327
1.0,1,15.518084
-1.0,1,15.518752
1.0,1,15.519422
-1.0,1,15.520058
-1.0,1,15.520771
1.0,1,15.521441
-1.0,1,15.522073
-1.0,1,15.522733
1.0,1,15.523398
-1.0,1,15.524031
1.0,1,15.524696
-1.0,1,15.525362
-1.0,1,15.525996
-1.0,1,15.526718
-1.0,1,15.527481
1.0,1,15.528263
-1.0,1,15.528897
-1.0,1,15.529561
-1.0,1,15.530194
-1.0,1,15.530853
1.0,1,15.531516
-1.0,1,15.532148
-1.0,1,15.532816
1.0,1,15.533485
-1.0,1,15.534118
-1.0,1,15.535253
1.0,1,15.535897
1.0,1,15.536679
-1.0,1,15.537449
1.0,1,15.538219
-1.0,1,15.538876
1.0,1,15.539542
-1.0,1,15.540179
-1.0,1,15.540887
1.0,1,15.541558
1.0,1,15.542196
1.0,1,15.542863
1.0,1,15.54353
-1.0,1,15.544166
-1.0,1,15.544835
-1.0,1,15.545508
-1.0,1,15.546147
1.0,1,15.546929
1.0,1,15.547699
1.0,1,15.548425
1.0,1,15.549056
1.0,1,15.549718
-1.0,1,15.550382
1.0,1,15.551014
-1.0,1,15.551675
-1.0,1,15.552343
-1.0,1,15.553046
1.0,1,15.553712
1.0,1,15.554374
1.0,1,15.555007
1.0,1,15.555669
-1.0,1,15.556359
1.0,1,15.55711
-1.0,1,15.557913
1.0,1,15.558577
1.0,1,15.559216
-1.0,1,15.559868
1.0,1,15.560531
-1.0,1,15.561166
-1.0,1,15.561906
1.0,1,15.562573
-1.0,1,15.563217
1.0,1,15.563871
-1.0,1,15.56453
-1.0,1,15.565164
-1.0,1,15.565828
-1.0,1,15.566581
1.0,1,15.567442
-1.0,1,15.568164
1.0,1,15.568829
-1.0,1,15.569494
1.0,1,15.570127
1.0,1,15.570789
1.0,1,15.571474
-1.0,1,15.572108
1.0,1,15.572771
